Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"June 12, 2019",257.579987,258.75,255.770004,257.230011,1071700,2019 Q2
COST,"June 13, 2019",257.709991,259.869995,257.549988,259.709991,1228500,2019 Q2
COST,"June 14, 2019",260,261.200012,258.910004,260.149994,1287800,2019 Q2
COST,"June 17, 2019",261.130005,262.25,260.429993,261.429993,1191900,2019 Q2
COST,"June 18, 2019",263.609985,264.200012,262.049988,262.73999,2763200,2019 Q2
COST,"June 19, 2019",262.309998,264.100006,260.940002,263.660004,1628400,2019 Q2
COST,"June 20, 2019",265,267.790009,264.549988,267.350006,1745100,2019 Q2
COST,"June 21, 2019",266.769989,268.940002,265.98999,266.130005,2964000,2019 Q2
COST,"June 24, 2019",267.309998,267.970001,266.519989,266.769989,1586100,2019 Q2
COST,"June 25, 2019",266.709991,267.079987,265.359985,266.359985,1182400,2019 Q2
COST,"June 26, 2019",266.450012,266.820007,264.339996,264.410004,1334400,2019 Q2
COST,"June 27, 2019",264.899994,266.480011,262.98999,265.579987,1122900,2019 Q2
COST,"June 28, 2019",265.5,266.390015,263.359985,264.26001,1952500,2019 Q2
COST,"July 1, 2019",266.429993,267,261.839996,263.549988,1955800,2019 Q3
COST,"July 2, 2019",263.920013,265.570007,261.670013,265.470001,1201300,2019 Q3
COST,"July 3, 2019",265.140015,269.160004,265.140015,269.140015,986500,2019 Q3
COST,"July 5, 2019",268.200012,268.609985,266.269989,268.25,1081500,2019 Q3
COST,"July 8, 2019",268.329987,269.690002,267.350006,269.399994,1236000,2019 Q3
COST,"July 9, 2019",269.359985,270.779999,268.48999,269.970001,1400300,2019 Q3
COST,"July 10, 2019",270.049988,271.529999,269.339996,271.420013,1257000,2019 Q3
COST,"July 11, 2019",272.329987,276.769989,271.809998,276.540009,1985600,2019 Q3
COST,"July 12, 2019",276.5,280,276.01001,279.440002,2046400,2019 Q3
COST,"July 15, 2019",279.940002,280.700012,278.899994,280.579987,1568000,2019 Q3
COST,"July 16, 2019",281,281.369995,279.779999,280.649994,1379200,2019 Q3
COST,"July 17, 2019",281.049988,282.850006,280.220001,281.559998,1716600,2019 Q3
